,longitude,latitude,gravity,traffic,apartments,cinemas,clinics,colleges,communityCentres,conferenceCentres,dentists,eventsVenues,fastFoods,hospitals,hotels,leisureFitnessCentres,leisureStadiums,motorwayLinks,motorways,parkings,placesOfWorship,restaurants,shopMalls,shopSupermarkets,sportsCentres,sportsHalls,stadiums,substationMinorDistributions,theatres,universities
37,10.5062,56.381,5253.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1130.38,0.0,46.1508,0.0,76.8146,0.0,0.0,0.0,0.0
38,9.0001,56.038,2123.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2045.3,77.8455,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,9.94186,57.222,2010.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1529.8,480.493,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,11.5743,55.8492,1268.76,35.2276,0.0,197.82,250.039,0.0,307.907,0.0,0.0,62.0902,0.0,0.0,0.0,0.0,0.0,0.0,4.88754,0,104.531,219.496,0.0,86.7636,0.0,0.0,0.0,0.0,0.0,0.0
41,9.39401,55.512,8729.86,13.4873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8711.43,4.94887,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,10.1852,56.1269,1731.22,23.3804,371.323,0.0,0.0,0.0,370.812,0.0,0.0,0.0,0.0,0.0,0.0,53.7671,29.1319,0.0,0.0,0,525.459,138.361,0.0,132.541,0.0,86.4483,0.0,0.0,0.0,0.0
43,8.32584,55.6139,913.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.054,0.0,0.0,0.0,0.0,0,383.348,187.566,0.0,149.184,0.0,0.0,0.0,0.0,0.0,0.0
44,8.60822,57.1155,5706.6,0.717763,550.712,0.0,0.0,0.0,0.0,0.0,0.0,151.962,0.0,0.0,95.4304,0.0,0.0,0.0,0.0,0,114.533,4202.17,0.0,591.074,0.0,0.0,0.0,0.0,0.0,0.0
45,10.6563,55.4602,658.538,6.50662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,113.141,0.0,538.89,0.0,0.0,0.0,0.0,0.0,0.0
46,9.96601,57.5921,2430.45,14.1048,1192.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,456.601,395.912,0.0,371.535,0.0,0.0,0.0,0.0,0.0,0.0
