,longitude,latitude,gravity,traffic,apartments,cinemas,clinics,colleges,communityCentres,conferenceCentres,dentists,eventsVenues,fastFoods,hospitals,hotels,leisureFitnessCentres,leisureStadiums,placesOfWorship,restaurants,shopMalls,shopSupermarkets,sportsCentres,sportsHalls,stadiums,substationMinorDistributions,theatres,universities,ratios_length,minCapacity,maxCapacity,slug,use,kommune
31,10.6563,55.4602,2314.69,2.83442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.689,0.0,1989.17,0.0,0.0,0.0,0.0,0,0,2,22.0,60.0,eerm7k,1.73,Kerteminde
32,9.96601,57.5921,5764.83,0.0,2214.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.892,1154.3,0.0,1401.94,0.0,0.0,0.0,0.0,0,0,4,300.0,300.0,xr5pze,1.73,Hjørring
33,9.48366,55.3608,1243.38,25.5733,214.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.59,0.0,0.0,684.53,0.0,0.0,0.0,0.0,0,0,2,150.0,150.0,gjenxn,1.77,Kolding
34,10.3397,55.4103,31886.5,30.8664,2221.87,0.0,2357.73,0.0,0.0,0.0,0.0,0.0,5867.75,0.0,0.0,373.402,0.0,0.0,7149.15,731.184,13154.6,0.0,0.0,0.0,0.0,0,0,2,300.0,300.0,6ejdj8,1.92,Odense
35,12.2293,55.5609,20107.5,9024.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10823.5,0.0,5.73886,0.0,0.0,0.0,253.469,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,43.0,50.0,z65qz,1.93,Greve
36,12.6054,55.6211,3431.54,0.0,650.028,0.0,0.0,258.612,0.0,0.0,0.0,1.97654,0.0,0.0,0.0,0.0,0.0,119.327,317.476,0.0,464.277,0.0,0.0,0.0,1619.84,0,0,1,50.0,50.0,39mjj5,1.94,Tårnby
37,12.4889,55.7654,37037.3,7.48381,13978.7,0.0,556.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.03,271.087,0.0,12862.8,0.0,193.985,0.0,8721.02,0,0,2,300.0,300.0,3ryq3r,2.0,Lyngby-Taarbæk
38,11.9003,55.7084,25310.2,88.3586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8014,0.0,0.0,21589.3,0.0,0.0,0.0,3533.75,0,0,2,75.2,75.2,8nkngr,2.08,Lejre
39,9.13578,55.7314,17169.9,0.0,0.0,0.0,0.0,0.0,21.6726,0.0,0.0,0.660152,0.0,0.0,108.266,0.0,0.0,0.0,17039.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,150.0,150.0,5jnk7y,2.09,Billund
40,10.2372,56.2307,12590.0,45.2335,905.383,0.0,0.0,0.0,14.4372,0.0,0.0,3.13581,576.055,0.0,0.0,0.0,0.0,414.741,234.827,0.0,10396.2,0.0,0.0,0.0,0.0,0,0,2,150.0,150.0,ej672k,2.11,Århus
41,10.1775,56.1372,3737.16,0.0,794.722,0.0,235.582,0.0,11.567,0.0,0.0,0.0,0.0,0.0,0.0,1138.66,0.0,452.073,110.919,0.0,993.643,0.0,0.0,0.0,0.0,0,0,2,300.0,300.0,5jn75z,2.11,Århus
42,12.1864,55.4824,3220.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2449.43,0.0,0.0,203.737,0.0,215.935,0.0,0.0,351.779,0.0,0.0,0.0,0.0,0,0,2,300.0,300.0,5jq9ge,2.14,Køge
43,10.0311,56.4707,31632.7,0.0,13514.0,1.27159,448.502,0.0,19.9343,0.0,0.0,1.26364,0.0,123.943,0.0,130.863,0.0,558.4,515.811,0.0,16318.7,0.0,0.0,0.0,0.0,0,0,2,150.0,150.0,7nzpw9,2.17,Randers
44,9.90815,57.0339,38264.1,0.0,14493.4,0.0,0.0,2144.46,0.0,0.0,0.0,0.711939,0.0,139.296,0.0,0.0,0.0,0.0,148.46,0.0,21337.8,0.0,0.0,0.0,0.0,0,0,2,300.0,300.0,rp75w9,2.19,Aalborg
45,9.09573,55.7359,630.851,11.0417,441.929,0.0,0.0,0.0,0.0,0.0,1.54549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.335,0.0,0.0,0.0,0.0,0,0,6,22.0,150.0,25drzr,2.23,Billund
46,9.5784,56.1858,4142.14,126.76,0.0,0.0,257.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.09,0.0,0.0,0.0,2604.81,0.0,0.0,0.0,0.0,0,0,8,600.0,600.0,pz6wdm,2.23,Silkeborg
47,9.64665,55.7945,563.935,150.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,150.0,150.0,k2knkx,2.31,Hedensted
