,Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity,NAME_2
40,63,628ydg,0.3411518810961449,0.1270842942322324,56.562711,9.026866,"[0.26497909893172317, 0.39526242452392013]",2,43.0,50.0,Skive
41,330,x562jz,0.3339916356877323,0.06372125941307,55.637265,12.082179,"[0.30088289962825276, 0.383364312267658, 0.4354089219330855, 0.5185873605947955, 0.14451672862453532, 0.2211895910780669]",6,43.0,300.0,Roskilde
42,74,6keynk,0.3290657439446366,0.1340188546984253,55.429386,11.790184,"[0.3441753171856978, 0.31395617070357557]",2,300.0,300.0,Ringsted
43,237,mzx6r2,0.3280453913849004,0.1356436653007384,55.595629,12.659088,"[0.3223714682723483, 0.3337193144974525]",2,300.0,300.0,Dragør
44,392,zpndpr,0.3244675925925926,0.0474701957543325,55.712953,12.560574,"[0.3398148148148148, 0.26851851851851855, 0.36921296296296297, 0.24421296296296297, 0.3729166666666667, 0.32916666666666666, 0.28912037037037036, 0.3425925925925926, 0.325, 0.36412037037037037]",10,300.0,300.0,København
45,55,5yw393,0.322075208913649,0.1195427554289093,56.413489,10.881871,"[0.29619312906220985, 0.3479572887650882]",2,43.0,50.0,Norddjurs
46,82,7n35ke,0.3214698405361682,0.2181774044877926,56.794238,8.854229,[0.3214698405361682],1,50.0,50.0,Morsø
47,328,x5622x,0.3200668337510443,0.0588026274881221,56.134818,8.969948,"[0.3649122807017544, 0.3433918128654971, 0.3160233918128655, 0.28842105263157897, 0.3146198830409357, 0.35578947368421054, 0.2573099415204678]",7,22.0,300.0,Herning
48,264,pjydnq,0.3188238018059736,0.217225480526441,55.722734,11.464672,[0.3188238018059736],1,50.0,50.0,Holbæk
49,64,628yrm,0.3161252900232018,0.1209165217784611,55.510032,8.456897,"[0.2591647331786543, 0.3730858468677494]",2,43.0,50.0,Esbjerg
50,54,5yw339,0.3050834303453628,0.076725951092924,56.17035,10.189372,"[0.2619324796274738, 0.23445867287543656, 0.41885913853317813]",3,11.0,50.0,Århus
51,50,5y3yrq,0.3004553612976135,0.0425196628917734,55.668863,12.571808,"[0.07127882599580712, 0.48255002326663565, 0.211493718008376, 0.40483946021405304, 0.16387337057728119, 0.38268156424581007, 0.2308050255932992, 0.45532805956258726]",8,300.0,300.0,København
52,364,yr68n5,0.2993055555555555,0.0841335764451649,56.20273,10.678898,"[0.2898148148148148, 0.23148148148148148, 0.33449074074074076, 0.3414351851851852]",4,22.0,300.0,Syddjurs
53,355,ym6rkk,0.2988865692414753,0.1310057205411506,57.265867,9.948698,"[0.30712131755973093, 0.2906518209232197]",2,300.0,300.0,Brønderslev
54,347,xrqjqj,0.2969900497512437,0.0065920825085817,56.70528,8.213788,"[0.026119402985074626, 0.029104477611940297, 0.9427860696517413, 0.9412935323383085, 0.0, 0.9447761194029851, 0.02437810945273632, 0.01791044776119403, 0.0012437810945273632, 0.04228855721393035]",10,11.0,80.0,Thyborøn
55,83,7n35q8,0.2941002601087727,0.0898534298698474,55.55561,8.14186,"[0.30409080160794516, 0.2830456372664933, 0.32513596594939703, 0.2641286356112556]",4,11.0,150.0,Varde
56,228,mw5pee,0.2850089417619159,0.0608998074328586,54.758914,11.855202,"[0.311173314672265, 0.3610916724982505, 0.3291345929554467, 0.2866806624679263, 0.2834149755073478, 0.13855843247025892]",6,43.0,300.0,Guldborgsund
57,98,7w9qxx,0.2847766006448641,0.1129057206410099,56.451983,9.406735,"[0.2224781206817135, 0.34707508060801473]",2,43.0,50.0,Viborg
58,108,8ndx35,0.2844408427876823,0.1119301585538057,54.939782,8.854387,"[0.24866867330400555, 0.3202130122713591]",2,43.0,50.0,Tønder
59,261,pjyd3w,0.2816705336426914,0.1216180023573385,55.488446,9.474084,"[0.20139211136890953, 0.3619489559164733]",2,43.0,50.0,Kolding
60,326,wxqw7y,0.2813877929914133,0.123738927808243,56.23427,10.29953,"[0.22998375493153864, 0.332791831051288]",2,300.0,300.0,Århus
61,58,5yw3p3,0.2727167896678967,0.1044434593351122,55.740854,12.544981,"[0.1907287822878229, 0.3547047970479705]",2,43.0,50.0,Gentofte
62,252,nz32kr,0.2720876585928489,0.1019433794854027,55.649424,12.198053,"[0.23806228373702423, 0.3061130334486736]",2,43.0,50.0,Høje Taastrup
63,194,jq8x28,0.2707122937485475,0.0503430710877872,55.711175,12.478455,"[0.2616778991401348, 0.25075528700906347, 0.27236811526841737, 0.2572623750871485, 0.3339530560074367, 0.35788984429467813, 0.22565651870787823, 0.20613525447362305]",8,43.0,300.0,København
64,161,eek65z,0.2672936093988725,0.0278617872657314,55.647185,12.541627,"[0.5042674253200569, 0.027738264580369845, 0.4193930772878141, 0.33712660028449504, 0.2797534376481745, 0.013276434329065908, 0.3840682788051209, 0.41536273115220484, 0.024656235182550973]",9,60.0,300.0,København
65,389,zn6djm,0.2669902912621359,0.060520511813233,57.036654,9.934661,"[0.3324086916319926, 0.31044845122515025, 0.2034211742949607, 0.22168284789644013]",4,43.0,300.0,Aalborg
66,259,pj78qw,0.2669068092028817,0.0897739492400023,55.966992,12.404039,"[0.12270508947246107, 0.41110852893330235]",2,43.0,50.0,Fredensborg
