,Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity
222,388,zkggq,0.1002567415921379,0.0071938237667971,57.455813,10.04226,"[0.113306355629612, 0.09950011901928113, 0.10521304451321115, 0.08283741966198524, 0.08212330397524399, 0.09640561771006903, 0.13234944060937873, 0.06784099024041895, 0.12401809093073078, 0.09521542489883361, 0.10188050464175197, 0.11949535824803618, 0.08021899547726732, 0.07712449416805522, 0.053558676505593907, 0.11187812425612949, 0.14401333015948584, 0.14282313734825042, 0.08140918828850274, 0.047607712449416806, 0.05879552487502975, 0.15996191383004046, 0.0776005712925494, 0.07955625990491284, 0.10235658176624614, 0.10021423470602238, 0.09854796477029279, 0.1804332301832897]",28,150.0,250.0
223,239,n98nqj,0.0994473496553363,0.0169111008292792,56.787214,8.829697,"[0.09935821250297124, 0.0801045875921084, 0.07582600427858331, 0.10910387449488947, 0.10934157356786309, 0.10149750415973377, 0.10387449488946993, 0.11647254575707154]",8,250.0,250.0
224,272,q5g67y,0.098733981781689,0.0211060333025418,54.99729,12.00039,"[0.09581497797356828, 0.08315098468271334, 0.17491749174917492, 0.12363238512035012, 0.1422319474835886, 0.18052516411378555]",6,350.0,350.0
225,248,njw5dp,0.0978513356562137,0.0489585559606923,55.833041,12.524161,"[0.0, 0.0, 0.07990708478513357, 0.12311265969802555]",4,150.0,150.0
230,37,3yd98n,0.0958957553058676,0.0309433739219871,57.020387,9.967491,"[0.14723782771535582, 0.021067415730337078, 0.11938202247191011]",3,60.0,300.0
231,221,m573d,0.0945757997218358,0.0396274226092026,57.154299,10.158087,"[0.1376912378303199, 0.05146036161335188]",2,43.0,50.0
232,109,8ndx38,0.0941828254847645,0.0413468961445891,55.080664,11.959194,"[0.04547553093259465, 0.14289012003693444]",2,43.0,50.0
235,103,8dw55,0.0933518647208709,0.0453844296843115,55.526407,9.464464,"[0.07852675469075747, 0.10817697475098448]",2,43.0,50.0
236,245,njje2j,0.0921093507300403,0.0172136753955957,55.52614,9.464075,"[0.12628145386766076, 0.11789375582479031, 0.05871388630009319, 0.13466915191053122, 0.047530288909599254, 0.06756756756756757]",6,150.0,150.0
238,222,m577d,0.0894846796657381,0.0415030545597535,55.39329,10.18904,"[0.04526462395543175, 0.13370473537604458]",2,43.0,50.0
239,68,68x68,0.0880640465793304,0.0466043712738487,56.84127,9.7435,"[0.07768329119742588, 0.09859802344288669]",2,43.0,50.0
240,204,jzrnyw,0.0878709978967048,0.0252654288898641,56.412811,10.073908,"[0.06940874035989718, 0.08857209628417854, 0.08857209628417854, 0.10493105865856509]",4,300.0,300.0
241,341,xpr5gw,0.0869952724172672,0.0144907860499961,55.643301,12.400076,"[0.0478958381771681, 0.11857707509881422, 0.1267147175075564, 0.0741687979539642, 0.05533596837944664, 0.09927923738665427]",6,150.0,150.0
247,284,qpe6jr,0.0791233868429335,0.0143663729132438,55.387655,11.362686,"[0.07766761095372994, 0.1645420207743154, 0.009915014164305949, 0.0767233238904627, 0.006137865911237016, 0.1397544853635505]",6,60.0,300.0
248,77,79zzz,0.0788922504072608,0.0489421618044549,54.83231,9.33313,"[0.0442168955084943, 0.11356760530602746]",2,43.0,50.0
250,121,95226,0.0782810685249709,0.0360407248854751,55.45523,11.60721,"[0.0329849012775842, 0.12357723577235773]",2,43.0,50.0
252,170,eq77y,0.0767361111111111,0.041980083159682,54.94839,11.98752,"[0.11666666666666667, 0.03680555555555556]",2,43.0,50.0
254,66,628yze,0.0755366308912739,0.0181406104431622,55.297526,10.841085,"[0.06252916472235184, 0.04479701353243117, 0.040363975734951006, 0.15445636957536163]",4,22.0,50.0
255,143,deggn,0.0754709637241164,0.0346685017002365,55.45536,11.59646,"[0.033395609528257826, 0.11793554413825315]",2,43.0,50.0
