longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7
11.9571,55.1694,5810.02,0,0,0,5772.59,37.4247,0,0
10.002,56.4489,8289.76,0,0,0,5040.49,3249.27,0,0
9.99933,56.4495,9231.25,0,0,0,5981.99,3249.27,0,0
9.96749,57.0204,2652.12,0,0,145.309,0,205.295,2301.52,0
12.1624,55.4886,18388.2,0,9920.99,0,7288.24,1178.96,0,0
11.7862,55.4533,12003.2,0,5089.1,0,0,10.8387,4458.59,2444.73
9.89515,55.4689,3558.19,0,0,0,836.164,2722.03,0,0
10.8411,55.2975,4770.78,0,0,0,4222.39,548.386,0,0
10.1882,55.3955,4416.65,0,0,0,0,4416.65,0,0
10.0062,56.1516,7582.11,0,0,0,2426.54,671.196,0,4484.37
11.918,54.899,9931.73,0,9920.99,0,0,10.7416,0,0
10.0739,56.4128,6062.26,0,2494.82,402.312,2370.73,794.402,0,0
12.4769,55.8771,2933.42,0,0,0,2692.41,241.005,0,0
12.2309,55.5601,20771.4,0,9920.99,0,2626,8224.46,0,0
10.0762,56.4124,16169.5,0,9920.99,493.469,4243.24,1511.82,0,0
12.5242,55.833,11458.2,0,0,0,6831.83,1565.03,0,3061.32
9.78647,55.8864,10701.4,0,9249.01,0,1440.11,12.2831,0,0
12.2298,55.5616,14100,0,3003.22,0,2872.35,8224.46,0,0
11.9581,55.1661,1595.62,0,0,0,1497.86,97.7521,0,0
9.37184,55.2156,1959.87,0,0,0,1440.98,518.888,0,0
9.37661,55.2164,2640.68,0,0,0,687.756,1952.92,0,0
11.3525,55.3919,16060,0,15938.4,0,0,121.671,0,0
11.3627,55.3877,1881.15,0,0,0,1079.52,801.637,0,0
11.3532,55.3907,9252.1,0,7310.03,0,0,199.537,0,1742.53
10.0558,55.4139,10259.2,0,9920.99,0,0,338.231,0,0
8.23574,56.0945,4726.64,0,0,0,0,0,4726.64,0
12.4001,55.6433,7819.48,0,0,0,1707.59,1627.53,0,4484.37
