longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,Score16,Score17,Score18,Score19,Score20,Score21,Score22,Score23,Score24,Score25,Score26,Score27,Score28,Score29,Score30,Score31
10.1373,56.1228,9434.35,0.522266,360.07,0,0,0,0,276.071,0,0,16.5747,0,0,0,0,0,0,0,0,8401.87,177.177,0,0,0,202.062,0,0,0,0,0,0,0
10.1431,56.1228,24032.1,0.566313,319.722,0,0,0,0,79.6641,0,0,29.04,144.625,0,0,0,0,0,0,0,19524.7,1831,0,0,103.748,1922.2,0,0,0,0,0,0,76.8323
10.149,56.1228,22776,0.504202,1194.63,0,0,0,14.3628,54.6966,0,0,36.9946,200.573,0,0,0,0,0,0,0,20450.6,410.394,0,0,163.676,138.816,0,0,0,0,0,0,110.735
10.1549,56.1228,11992,0.388646,355.298,0,0,0,41.5041,128.004,0,14.5078,37.205,370.009,0,0,0,8.48145,0,0,0,9762.97,887.07,0,0,208.756,87.9403,0,0,0,0,0,0,89.885
10.1607,56.1228,18962,0.284454,1553.57,0,0,0,60.3092,326.199,0,29.9951,28.2457,396.173,0,0,0,10.904,0,0,0,16122.8,95.4589,0,0,171.398,114.336,0,0,0,0,0,0,52.3274
10.1666,56.1228,22676.8,0.206473,2799.45,0,0,0,21.3553,257.791,0,30.5136,14.5902,275.475,0,0,0,14.3704,0,0,0,18359.1,64.2092,0,0,78.925,760.784,0,0,0,0,0,0,0
10.1724,56.1228,25865.2,0.125269,2799.45,0,0,0,8.78694,131.661,0,21.1833,0,0,0,0,0,16.6119,0,0,0,20695.2,52.9349,0,0,0,2139.31,0,0,0,0,0,0,0
10.1783,56.1228,7499.63,0,701.987,0,0,0,0,82.0787,0,0,0,0,10.6801,0,0,37.2988,0,0,0,6357.48,47.4439,0,0,0,262.659,0,0,0,0,0,0,0
10.1842,56.1228,2558.04,0,223.224,0,0,0,0,82.3354,0,0,0,0,21.3649,0,0,31.6099,0,0,0,1997,35.1602,0,0,0,167.339,0,0,0,0,0,0,0
10.19,56.1228,16069.5,0,1888.77,0,0,0,0,56.6446,0,0,0,0,33.621,0,0,13.5823,0,0,0,13953.7,26.9406,0,0,0,96.2128,0,0,0,0,0,0,0
10.1959,56.1228,4021.78,0,487.373,0,0,0,0,0,0,0,0,0,23.8912,0,0,0,0,0,0,3413.3,0,0,0,0,97.2108,0,0,0,0,0,0,0
10.2017,56.1228,19828.7,0,104.628,0,0,134.552,0,0,0,0,0,0,12.0869,0,0,0,0,0,0,19522,0,0,0,0,55.4797,0,0,0,0,0,0,0
10.2076,56.1228,4129.97,0,37.4706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092.5,0,0,0,0,0,0,0,0,0,0,0,0
10.2135,56.1228,3823.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3823.22,0,0,0,0,0,0,0,0,0,0,0,0
10.2193,56.1228,15608.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15608.4,0,0,0,0,0,0,0,0,0,0,0,0
10.0552,56.1243,2696.62,0.686929,0,0,0,0,0,1541.89,0,0,0,0,0,0,0,0,0,96.6201,0,895.931,161.489,0,0,0,0,0,0,0,0,0,0,0
10.0611,56.1243,14776.8,0.617766,0,0,0,0,0,1276.2,0,0,0,0,0,0,0,0,0,0,0,11700,1800,0,0,0,0,0,0,0,0,0,0,0
10.067,56.1243,1235.02,1.02201,0,0,0,0,0,151.313,0,0,0,0,0,0,0,0,0,198.914,0,773.549,110.226,0,0,0,0,0,0,0,0,0,0,0
10.0728,56.1243,768.815,1.35225,0,0,0,0,0,55.9229,0,0,0,0,0,0,0,0,0,469.184,0,211.37,30.9859,0,0,0,0,0,0,0,0,0,0,0
10.0787,56.1243,1110.68,2.42281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0845,56.1243,1555.66,2.65003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384.39,0,168.623,0,0,0,0,0,0,0,0,0,0,0,0
10.0904,56.1243,822.331,11.4282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.096,0,241.807,0,0,0,0,0,0,0,0,0,0,0,0
10.0963,56.1243,458.319,5.67721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.512,0,216.13,0,0,0,0,0,0,0,0,0,0,0,0
10.1021,56.1243,367.069,1.58177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.487,0,0,0,0,0,0,0,0,0,0,0,0
10.108,56.1243,879.567,0.67962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.637,0,0,0,0,72.6648,0,0,0,0,0,7.58598,0
10.1138,56.1243,1879.15,0.37519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712.82,0,0,0,0,153.919,0,0,0,0,0,12.0381,0
10.1197,56.1243,1732.11,0.244852,0,0,0,0,0,98.198,0,0,0,0,0,0,0,0,0,0,0,1459.28,0,0,0,0,162.834,0,0,0,0,0,11.5601,0
10.1256,56.1243,3687.59,0.353908,16.9137,0,0,0,0,427.123,0,0,0,0,0,0,0,0,0,0,0,3159.01,0,0,0,0,77.2233,0,0,0,0,0,6.97258,0
10.1314,56.1243,12583,0.512513,66.1758,0,0,0,0,4700,0,0,0,0,0,0,0,0,0,0,0,7724.19,34.8543,0,0,0,57.2639,0,0,0,0,0,0,0
10.1373,56.1243,21579.4,0.698971,905.221,0,0,0,0,276.217,0,0,20.9672,0,0,0,0,0,0,0,0,20102.2,138.75,0,0,0,135.366,0,0,0,0,0,0,0
10.1431,56.1243,10092.8,0.780181,421.287,0,0,0,0,79.6785,0,0,45.878,0,0,0,0,0,0,0,0,8566.53,564.258,0,0,0,360.074,0,0,0,0,0,0,54.3272
10.149,56.1243,12069.1,0.666991,2766.27,0,0,0,11.2339,61.1836,0,9.54152,69.4787,239.591,0,0,0,0,0,0,0,8348.64,249.711,0,0,132.54,110.956,0,0,0,0,0,0,69.3368
10.1549,56.1243,19620.7,0.47871,289.146,0,0,0,22.9949,170.236,0,20.2333,38.3292,471.942,0,0,0,17.5354,0,0,0,17966,318.959,0,0,174.369,69.9371,0,0,0,0,0,0,60.5435
10.1607,56.1243,11768.7,0.329882,2027.52,0,0,0,27.7967,886.705,0,51.6051,17.7916,577.565,0,0,0,23.1607,0,0,0,7748.49,99.2794,0,0,203.696,104.745,0,0,0,0,0,0,0
10.1666,56.1243,22123.2,0.229406,1126.13,0,0,0,15.1012,515.134,0,51.3846,0,401.619,0,0,0,18.9049,0,0,0,19466.8,108.48,0,0,117.227,302.187,0,0,0,0,0,0,0
10.1724,56.1243,19174.9,0.144341,2799.45,0,0,0,7.50775,166.29,0,30.7183,0,152.388,0,0,0,17.115,0,0,0,15347.3,65.215,0,0,67.9194,520.897,0,0,0,0,0,0,0
10.1783,56.1243,7496.89,0.107766,379.598,0,0,0,0,161.892,0,11.5929,0,0,0,0,0,19.8511,0,0,0,6685.11,58.1449,0,0,0,180.596,0,0,0,0,0,0,0
10.1842,56.1243,4176.9,0,125.953,0,0,0,0,132.803,0,0,0,0,14.486,0,0,18.116,0,0,0,3721.35,59.7193,0,0,0,104.475,0,0,0,0,0,0,0
10.19,56.1243,3900.28,0,345.866,0,0,0,0,76.6975,0,0,0,0,19.2417,0,0,10.2893,0,0,0,3344.33,39.3358,0,0,0,64.5245,0,0,0,0,0,0,0
10.1959,56.1243,9212.82,0,185.019,0,0,0,0,0,0,0,0,0,15.6048,0,0,0,0,0,0,8937.1,20.4169,0,0,0,54.6744,0,0,0,0,0,0,0
10.2017,56.1243,7192.52,0,76.3865,0,0,0,0,0,0,0,0,0,9.5275,0,0,0,0,0,0,7066.9,0,0,0,0,39.7046,0,0,0,0,0,0,0
10.2076,56.1243,14413.6,0,33.0829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14380.5,0,0,0,0,0,0,0,0,0,0,0,0
10.2135,56.1243,6875.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6875.56,0,0,0,0,0,0,0,0,0,0,0,0
10.2193,56.1243,11706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11706,0,0,0,0,0,0,0,0,0,0,0,0
10.0552,56.1258,1881.45,0.742216,0,0,0,0,0,753.437,0,0,0,0,0,0,0,0,0,84.1925,0,896.631,146.447,0,0,0,0,0,0,0,0,0,0,0
10.0611,56.1258,13575.1,0.497315,0,0,0,0,0,683.869,0,0,0,0,0,0,0,0,0,0,0,11700,1190.76,0,0,0,0,0,0,0,0,0,0,0
10.067,56.1258,1095.98,0.729636,0,0,0,0,0,137.225,0,0,0,0,0,0,0,0,0,80.9477,0,774.075,103.006,0,0,0,0,0,0,0,0,0,0,0
10.0728,56.1258,627.232,0.8837,0,0,0,0,0,53.88,0,0,0,0,0,0,0,0,0,330.665,0,211.415,30.3879,0,0,0,0,0,0,0,0,0,0,0
10.0787,56.1258,571.879,1.37454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0845,56.1258,772.123,1.90564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.201,0,123.017,0,0,0,0,0,0,0,0,0,0,0,0
10.0904,56.1258,546.747,4.2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.616,0,157.874,0,0,0,0,0,0,0,0,0,0,0,0
10.0963,56.1258,364.281,3.09067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.039,0,218.151,0,0,0,0,0,0,0,0,0,0,0,0
10.1021,56.1258,501.656,1.28271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.141,0,0,0,0,40.19,0,0,0,0,0,5.04192,0
10.108,56.1258,1455,0.617752,0,0,0,0,0,49.3053,0,0,0,0,0,0,0,0,0,0,0,1299.2,0,0,0,0,95.427,0,0,0,0,0,10.447,0
10.1138,56.1258,4772.32,0.355539,0,0,0,0,0,63.9305,0,0,0,0,0,0,0,0,0,0,0,4376.54,0,0,0,0,310.203,0,0,0,0,0,21.2897,0
10.1197,56.1258,3407.07,0.271932,0,0,0,0,0,124.609,0,0,0,0,0,0,0,0,0,0,0,2913.37,0,0,0,0,348.975,0,0,0,0,0,19.8392,0
10.1256,56.1258,4941.62,0.413407,16.1794,0,0,0,0,320.649,0,0,0,0,0,0,0,0,0,0,0,4491.77,0,0,0,0,103.292,0,0,0,0,0,9.31812,0
10.1314,56.1258,5795.77,0.647444,52.5828,0,0,0,0,775.302,0,0,0,0,0,0,0,0,0,0,0,4879.61,29.775,0,0,0,57.8541,0,0,0,0,0,0,0
10.1373,56.1258,8602.97,0.976506,298.281,0,0,0,0,239.674,0,0,35.5892,0,0,0,0,0,0,0,0,7871.64,78.4029,0,0,0,78.406,0,0,0,0,0,0,0
10.1431,56.1258,3096.62,1.14267,300.673,0,0,0,0,72.8227,0,0,86.4808,0,0,0,0,0,0,0,0,2342.47,170.236,0,0,0,122.787,0,0,0,0,0,0,0
10.149,56.1258,15978.5,0.915204,1794.97,0,0,0,8.59424,64.1453,0,10.9313,174.549,287.589,0,0,0,13.7504,0,76.7039,0,13214,133.961,0,0,69.8055,81.1844,0,0,0,0,0,0,47.4413
10.1549,56.1258,17762.2,0.594422,498.198,0,0,0,14.1182,195.312,0,34.2656,57.3873,660.02,0,0,0,25.7416,0,0,0,15893.8,143.482,0,0,149.903,89.3895,0,0,0,0,0,0,0
