,longitude,latitude,gravity
209,10.0963,56.1304,0.0
210,10.1021,56.1304,0.0
211,10.108,56.1304,0.0
212,10.1138,56.1304,0.0
213,10.1197,56.1304,0.0
214,10.1256,56.1304,0.0
215,10.1314,56.1304,0.0
216,10.1373,56.1304,0.0
217,10.1431,56.1304,0.0
218,10.149,56.1304,0.0
219,10.1549,56.1304,0.0
220,10.1607,56.1304,0.0
221,10.1666,56.1304,0.0
222,10.1724,56.1304,0.0
223,10.1783,56.1304,0.0
224,10.1842,56.1304,0.0
225,10.19,56.1304,0.0
226,10.1959,56.1304,0.0
227,10.2017,56.1304,0.0
228,10.2076,56.1304,0.0
229,10.2135,56.1304,0.0
230,10.0552,56.1319,0.0
231,10.0611,56.1319,0.0
232,10.067,56.1319,0.0
233,10.0728,56.1319,0.0
234,10.0787,56.1319,0.0
235,10.0845,56.1319,0.0
236,10.0904,56.1319,0.0
237,10.0963,56.1319,0.0
238,10.1021,56.1319,0.0
239,10.108,56.1319,0.0
240,10.1138,56.1319,0.0
241,10.1197,56.1319,0.0
242,10.1256,56.1319,0.0
243,10.1314,56.1319,0.0
244,10.1373,56.1319,0.0
245,10.1431,56.1319,0.0
246,10.149,56.1319,0.0
247,10.1549,56.1319,0.0
248,10.1607,56.1319,0.0
249,10.1666,56.1319,0.0
250,10.1724,56.1319,0.0
251,10.1783,56.1319,0.0
252,10.1842,56.1319,0.0
253,10.19,56.1319,0.0
254,10.1959,56.1319,0.0
255,10.2017,56.1319,0.0
256,10.2076,56.1319,0.0
257,10.0552,56.1335,0.0
258,10.0611,56.1335,0.0
259,10.067,56.1335,0.0
260,10.0728,56.1335,0.0
261,10.0787,56.1335,0.0
262,10.0845,56.1335,0.0
263,10.0904,56.1335,0.0
264,10.0963,56.1335,0.0
265,10.1021,56.1335,0.0
266,10.108,56.1335,0.0
267,10.1138,56.1335,0.0
268,10.1197,56.1335,0.0
269,10.1256,56.1335,0.0
270,10.1314,56.1335,0.0
271,10.1373,56.1335,0.0
272,10.1431,56.1335,0.0
273,10.149,56.1335,0.0
274,10.1549,56.1335,0.0
275,10.1607,56.1335,0.0
276,10.1666,56.1335,0.0
277,10.1724,56.1335,0.0
278,10.1783,56.1335,0.0
279,10.1842,56.1335,0.0
280,10.19,56.1335,0.0
281,10.1959,56.1335,0.0
282,10.2017,56.1335,0.0
283,10.2076,56.1335,0.0
284,10.0552,56.135,0.0
285,10.0611,56.135,0.0
286,10.067,56.135,0.0
287,10.0728,56.135,0.0
288,10.0787,56.135,0.0
289,10.0845,56.135,0.0
290,10.0904,56.135,0.0
291,10.0963,56.135,0.0
292,10.1021,56.135,0.0
293,10.108,56.135,0.0
294,10.1138,56.135,0.0
295,10.1197,56.135,0.0
296,10.1256,56.135,0.0
297,10.1314,56.135,0.0
298,10.1373,56.135,0.0
299,10.1431,56.135,0.0
300,10.149,56.135,0.0
301,10.1549,56.135,0.0
302,10.1607,56.135,0.0
303,10.1666,56.135,0.0
304,10.1724,56.135,0.0
305,10.1783,56.135,0.0
306,10.1842,56.135,0.0
307,10.19,56.135,0.0
308,10.1959,56.135,0.0
309,10.2017,56.135,0.0
310,10.2076,56.135,0.0
311,10.0552,56.1365,0.0
312,10.0611,56.1365,0.0
313,10.067,56.1365,0.0
314,10.0728,56.1365,0.0
315,10.0787,56.1365,0.0
316,10.0845,56.1365,0.0
317,10.0904,56.1365,0.0
318,10.0963,56.1365,0.0
319,10.1021,56.1365,0.0
320,10.108,56.1365,0.0
321,10.1138,56.1365,0.0
322,10.1197,56.1365,0.0
323,10.1256,56.1365,0.0
324,10.1314,56.1365,0.0
325,10.1373,56.1365,0.0
326,10.1431,56.1365,0.0
327,10.149,56.1365,0.0
328,10.1549,56.1365,0.0
329,10.1607,56.1365,0.0
330,10.1666,56.1365,0.0
331,10.1724,56.1365,0.0
332,10.1783,56.1365,0.0
333,10.1842,56.1365,0.0
