,longitude,latitude
129,12.3544822,55.6753649
130,10.6580183,55.4500832
131,12.5730604,55.7533013
132,12.5711843,55.7537923
133,12.5774899,55.7406694
134,10.3702784,55.3735709
135,9.8451349,55.8635892
136,12.4833944,55.661775
137,12.6168122,55.6559323
138,14.6995618,55.1021721
139,12.573028,55.683675
140,12.5689106,55.6849124
141,12.5166671,55.6673085
142,12.5157251,55.6664639
143,12.5114807,55.6645512
144,10.1288448,56.0949339
145,10.1365559,56.0910986
146,12.3871374,55.6670438
147,12.5863409,55.6854758
148,12.586612,55.685181
149,12.586392,55.684931
150,12.5868453,55.6835484
151,12.5838521,55.6860948
152,12.471847,55.8116612
153,12.4717589,55.8109931
154,12.5300574,55.8142607
155,12.5770018,55.6310777
156,9.5344396,55.7103944
157,12.6047223,55.6602349
158,12.6054451,55.6629421
159,12.6036117,55.6630825
160,12.6102958,55.6618793
161,12.6100812,55.6595505
162,12.0384696,55.1219786
163,9.951439,57.0404907
164,12.5421159,55.7467147
165,12.5668579,55.6538258
166,12.5407341,55.7451346
167,12.4316268,55.7275199
168,12.4196065,55.7342743
169,12.4234888,55.7429094
170,12.5628681,55.853222
171,12.5660148,55.8535741
172,12.5684549,55.8508789
173,12.5971543,55.6752064
174,10.3180488,56.3166818
175,12.540283,55.6693343
176,12.4889367,55.6888531
177,12.5125184,55.6725296
178,10.3935777,55.4081294
179,9.5500589,56.1692502
180,12.5857466,55.6159416
181,12.5859532,55.603376
182,12.5860932,55.6028589
183,12.5241521,55.7838334
184,12.2005302,56.0207764
185,12.5345867,55.7965685
186,12.5307687,55.6788708
187,9.4917754,55.2524065
188,12.2200245,55.532965
189,12.2170419,55.5336693
190,12.2161836,55.5337422
191,12.4740391,55.6534073
192,10.9131837,56.4078298
193,9.4792891,55.4902044
194,10.3830313,55.3965138
195,12.5599029,55.6616576
196,12.5457398,55.6697372
197,12.5727309,55.6601982
198,12.5674034,55.6580716
199,10.1938964,56.1936543
200,12.5447664,55.6723222
201,12.5433236,55.6687572
202,12.5042364,55.7938126
203,12.5912305,55.6719051
204,12.5443116,55.8393693
205,10.0909521,56.150287
206,9.4595311,55.5124916
207,10.0634779,56.2649203
208,10.0616151,56.2646631
209,12.5472998,55.6697942
210,12.5573553,55.7085218
211,9.023939,56.566583
212,9.0321761,56.5659741
213,10.0286598,56.460554
214,10.0407443,56.4774546
215,9.9631374,56.1839318
216,12.5258944,55.8335279
217,12.3325984,55.8665832
218,12.6217112,55.6487345
219,12.0891768,55.6406941
220,12.0896655,55.6316877
221,9.0283045,56.5694446
222,10.3770121,55.3940808
223,12.6153712,55.6667108
224,12.6097924,55.6651131
225,12.5189377,55.7489951
226,12.6190902,55.659613
227,12.6314001,55.6426977
228,12.6070529,55.6585785
229,12.6174491,55.6405072
230,12.6075277,55.6686776
231,9.4682077,55.2518458
232,9.4937049,55.2483366
233,12.5765796,55.7276341
234,12.5750749,55.7330167
235,11.4974367,55.5266709
236,11.4967661,55.5330833
237,11.4967281,55.52667
238,12.3738595,55.7842387
