longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,Score16,Score17,Score18,Score19,Score20,Score21,Score22,Score23,Score24,Score25,Score26,Score27
9.32942,54.8262,15.5435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02789,0.06365,13.452,0,0,0,0,0,0,0,0,0,0
12.4889,55.7654,16.5842,0,2.56329,0,0.121462,0,0,0,0,0,0,0,0,0,0,0,0.00920005,8.69268,0.00578643,0.00476934,0,1.18663,0,0.165234,0,3.83517,0,0
11.9003,55.7084,18.5791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8925,0.00133224,0,0,2.07009,0,0,0,1.6152,0,0
9.13578,55.7314,15.572,0,0,0,0,0,0.146351,0,0,0.00955348,0,0,0.0115024,0,0,0,0.000526748,15.0932,0,0.284339,0,0,0,0,0,0,0.0265067,0
10.2372,56.2307,12.9653,0,0.234699,0,0,0,0.145304,0,0,0.0676362,0.240128,0,0,0,0,0.190384,0.00883476,10.709,0.00760626,0.00584042,0,1.35581,0,0,0,0,0,0
10.1775,56.1372,6.9649,0,0.206013,0,0.072732,0,0.116417,0,0,0,0,0,0,0.139407,0,0,0.00180931,6.28789,0.00829094,0.00275869,0,0.129585,0,0,0,0,0,0
12.1864,55.4824,13.3233,0,0,0,0,0,0,0,0,0,1.02104,0,0,0.0179119,0,0,0.0123955,12.2361,0.00284381,0,0,0.032944,0,0,0,0,0,0
10.0654,56.1781,14.6628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,1.29023,8.94256,0,0,0,0,0,0,0,0,0,0
10.0311,56.4707,15.1893,0,2.36953,9.87665e-005,0.093659,0,0.135706,0,0,0.0184354,0,0.0229494,0,0.0108369,0,0,0,11.0528,0.00692692,0.00867735,0,1.4395,0,0,0,0,0.03022,0
10.0242,57.1,3.96077,0,0,0,0,0,0,0,0,0,0,0,0.000819817,0,0,1.33062,0.0158023,2.35818,0.00265591,0.00581796,0,0.246874,0,0,0,0,0,0
9.90815,57.0339,20.4745,0,2.50746,0,0,1.00861,0,0,0,0.0102484,0,0.025449,0,0,0,0,0.00390743,15.046,0,0.00246428,0,1.8572,0,0,0,0,0.0131886,0
9.09573,55.7359,10.9758,0,0.0768633,0,0,0,0,0,0.0128717,0,0,0,0,0,0,0,0.00757913,10.8631,0,0,0,0.0154295,0,0,0,0,0,0
9.5784,56.1858,16.5999,0,0,0,0.0533658,0,0,0,0,0,0,0,0,0,0.0467381,7.72156,0.0170174,8.53317,0,0,0,0.228049,0,0,0,0,0,0
12.2314,55.5607,20.8374,0,0,0,0,0,0.0707853,0,0,0,8.43884,0,0.000483836,0,0,2.45972,2.42439,7.43984,0,0.00335649,0,0,0,0,0,0,0,0
11.6519,55.7006,10.1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878468,0.0566285,9.24596,0,0,0,0,0,0,0,0,0,0
9.64665,55.7945,0.838156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110424,0.822029,0.00508433,0,0,0,0,0,0,0,0,0
8.38584,55.4383,9.81449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62806,0.0018204,0.0126496,0,1.17196,0,0,0,0,0,0
9.37451,54.9369,4.20454,0,0,0,0,0,0,0,0,0,0.392149,0,0,0,0,0.305492,0.0205318,3.48637,0,0,0,0,0,0,0,0,0,0
8.58381,56.4869,26.0685,0,0.139903,0.000242566,0.0602127,0,0.0756664,0,0,0,8.43884,0,0,0,0.00423707,0,0,15.3707,0.00364402,0.00498577,0,1.97009,0,0,0,0,0,0
8.58928,55.5246,13.1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826765,0.00286838,12.3498,0,0,0,0,0,0,0,0,0,0
8.30279,56.5497,17.9415,0,0.706833,0.000282014,0,0,0.259641,0.00658178,0,0,0,0.0119221,0,0,0,0,0,16.7039,0.0450829,0.134448,0,0.072812,0,0,0,0,0,0
9.74208,56.8436,11.3867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09242,0.369094,8.9252,0,0,0,0,0,0,0,0,0,0
9.99505,57.4565,20.7626,0,0.543196,0,0,0,0.263405,0,1.2056,0,0.626188,0.0152137,0,0.0120996,0.0512706,0,0,17.0267,0.0152629,0.154426,0,0.813471,0,0,0,0,0.0357166,0
9.90386,57.0224,11.3263,0,2.05366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641285,9.18112,0.00859582,0.0357886,0,0.0407164,0,0,0,0,0,0
