Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity
308,rpnyj2,0.3149349361263192,0.0492757537021923,55.534483,9.716938,"[0.3622946917400619, 0.3025470126160438, 0.36181861461556775, 0.43013568198048086, 0.3234944060937872, 0.3218281361580576, 0.29469174006189003, 0.33444417995715303, 0.3156391335396334, 0.32611283027850513, 0.2599381099738158, 0.31064032373244466, 0.2713639609616758, 0.2982623184955963, 0.33015948583670557, 0.30778386098547966, 0.3546774577481552, 0.3434896453225422, 0.3070697452987384, 0.2939776243751488, 0.34372768388478936, 0.25232087598190905, 0.18876457986193762, 0.32325636753154013]",24,250,250
386,z6dzz,0.3062347653869591,0.0381813727837266,55.535763,9.718525,"[0.4008226691042048, 0.25, 0.3679159049360146, 0.3756855575868373, 0.5303930530164533, 0.035877513711151734, 0.5009140767824497, 0.3852833638025594, 0.296617915904936, 0.27513711151736747, 0.023994515539305303, 0.23217550274223034]",12,62,270
54,5yw339,0.3050834303453628,0.076725951092924,56.17035,10.189372,"[0.2619324796274738, 0.23445867287543656, 0.41885913853317813]",3,11,50
50,5y3yrq,0.3004553612976135,0.0425196628917734,55.668863,12.571808,"[0.07127882599580712, 0.48255002326663565, 0.211493718008376, 0.40483946021405304, 0.16387337057728119, 0.38268156424581007, 0.2308050255932992, 0.45532805956258726]",8,300,300
364,yr68n5,0.2993055555555555,0.0841335764451649,56.20273,10.678898,"[0.2898148148148148, 0.23148148148148148, 0.33449074074074076, 0.3414351851851852]",4,22,300
355,ym6rkk,0.2988865692414753,0.1310057205411506,57.265867,9.948698,"[0.30712131755973093, 0.2906518209232197]",2,300,300
347,xrqjqj,0.2969900497512437,0.0065920825085817,56.70528,8.213788,"[0.026119402985074626, 0.029104477611940297, 0.9427860696517413, 0.9412935323383085, 0.0, 0.9447761194029851, 0.02437810945273632, 0.01791044776119403, 0.0012437810945273632, 0.04228855721393035]",10,11,80
83,7n35q8,0.2941002601087727,0.0898534298698474,55.55561,8.14186,"[0.30409080160794516, 0.2830456372664933, 0.32513596594939703, 0.2641286356112556]",4,11,150
255,nzn6mp,0.2904972265586076,0.0352873934296578,55.352714,10.419778,"[0.20437107649383865, 0.24017670309230413, 0.39641943734015345, 0.22459893048128343, 0.24203673564287376, 0.28225993954894213, 0.17089049058358521, 0.24133922343641015, 0.11648453847942339, 0.415252266914671, 0.3994419902348291, 0.42292490118577075, 0.3394559404789584, 0.47779586142757496, 0.27435480120902117, 0.43780516159032784, 0.3289932573820042, 0.3359683794466403, 0.17856312485468495, 0.4282724947686585, 0.20390606835619624, 0.24250174378051617, 0.2962101836782144, 0.25203441060218557, 0.25691699604743085, 0.2397116949546617, 0.1969309462915601, 0.28830504533829343]",28,300,300
228,mw5pee,0.2850089417619159,0.0608998074328586,54.758914,11.855202,"[0.311173314672265, 0.3610916724982505, 0.3291345929554467, 0.2866806624679263, 0.2834149755073478, 0.13855843247025892]",6,43,300
98,7w9qxx,0.2847766006448641,0.1129057206410099,56.451983,9.406735,"[0.2224781206817135, 0.34707508060801473]",2,43,50
108,8ndx35,0.2844408427876823,0.1119301585538057,54.939782,8.854387,"[0.24866867330400555, 0.3202130122713591]",2,43,50
118,8zdpp,0.2832443471381524,0.0338171543752067,55.38791,11.361842,"[0.22984931834489356, 0.2276967232719445, 0.24778761061946902, 0.2501793829227458, 0.46998325759387705, 0.17436020090887347, 0.17483855536952883, 0.12030614685481943, 0.09758430997369051, 0.3417842621382444, 0.22817507773259985, 0.2033006457785219, 0.3147572351112174, 0.23941640755800048, 0.3738340110021526, 0.38250790305584825, 0.2939488160727099, 0.28749103085386274, 0.30279837359483375, 0.3149964123415451, 0.2929921071513992, 0.2946663477636929, 0.4187993303037551, 0.3195407797177709, 0.37981344176034443, 0.3934465438890218]",26,150,250
261,pjyd3w,0.2816705336426914,0.1216180023573385,55.488446,9.474084,"[0.20139211136890953, 0.3619489559164733]",2,43,50
326,wxqw7y,0.2813877929914133,0.123738927808243,56.23427,10.29953,"[0.22998375493153864, 0.332791831051288]",2,300,300
262,pjyd79,0.2809236481782316,0.0678254233705318,56.149999,10.252163,"[0.17498259456950568, 0.15966581573450916, 0.4172661870503597, 0.3717799953585519]",4,300,300
265,pjym7r,0.2778035217794254,0.0502406900084515,54.929495,9.805633,"[0.33804448563484707, 0.26946246524559775, 0.11283595922150139, 0.39087117701575536]",4,22,50
119,8zg52,0.2749791468064824,0.0392513032003207,55.068158,9.360839,"[0.3117254528122021, 0.2023355576739752, 0.4408960915157293, 0.31291706387035273, 0.23141086749285034, 0.19494756911344138, 0.21568160152526217, 0.22163965681601525, 0.30028598665395617, 0.23760724499523356, 0.2785986653956149, 0.3753574833174452, 0.32721639656816015, 0.3317445185891325, 0.2152049571020019, 0.2020972354623451]",16,150,150
58,5yw3p3,0.2727167896678967,0.1044434593351122,55.740854,12.544981,"[0.1907287822878229, 0.3547047970479705]",2,43,50
252,nz32kr,0.2720876585928489,0.1019433794854027,55.649424,12.198053,"[0.23806228373702423, 0.3061130334486736]",2,43,50
